DATE,PCU32523252
1984-12-01,100.0
1985-01-01,100.1
1985-02-01,100.1
1985-03-01,99.7
1985-04-01,99.8
1985-05-01,99.5
1985-06-01,99.7
1985-07-01,99.5
1985-08-01,99.1
1985-09-01,98.9
1985-10-01,97.2
1985-11-01,97.5
1985-12-01,97.4
1986-01-01,97.9
1986-02-01,98.1
1986-03-01,97.9
1986-04-01,96.8
1986-05-01,96.3
1986-06-01,95.8
1986-07-01,96.0
1986-08-01,95.8
1986-09-01,94.8
1986-10-01,95.0
1986-11-01,95.1
1986-12-01,94.5
1987-01-01,94.8
1987-02-01,94.3
1987-03-01,94.9
1987-04-01,96.9
1987-05-01,97.6
1987-06-01,99.1
1987-07-01,101.2
1987-08-01,101.4
1987-09-01,102.2
1987-10-01,103.8
1987-11-01,104.4
1987-12-01,104.8
1988-01-01,107.6
1988-02-01,108.8
1988-03-01,109.3
1988-04-01,111.0
1988-05-01,113.1
1988-06-01,113.7
1988-07-01,116.4
1988-08-01,118.1
1988-09-01,118.9
1988-10-01,119.4
1988-11-01,119.6
1988-12-01,119.9
1989-01-01,120.2
1989-02-01,120.8
1989-03-01,120.5
1989-04-01,121.3
1989-05-01,120.9
1989-06-01,120.3
1989-07-01,118.9
1989-08-01,115.6
1989-09-01,114.7
1989-10-01,114.3
1989-11-01,114.0
1989-12-01,113.8
1990-01-01,113.9
1990-02-01,113.7
1990-03-01,114.4
1990-04-01,114.1
1990-05-01,114.1
1990-06-01,114.0
1990-07-01,113.6
1990-08-01,113.7
1990-09-01,113.7
1990-10-01,115.3
1990-11-01,117.9
1990-12-01,120.0
1991-01-01,120.0
1991-02-01,119.4
1991-03-01,117.1
1991-04-01,115.1
1991-05-01,113.7
1991-06-01,112.1
1991-07-01,110.4
1991-08-01,110.2
1991-09-01,109.9
1991-10-01,110.2
1991-11-01,109.8
1991-12-01,110.2
1992-01-01,109.5
1992-02-01,109.7
1992-03-01,108.8
1992-04-01,109.0
1992-05-01,109.5
1992-06-01,109.2
1992-07-01,110.7
1992-08-01,110.8
1992-09-01,111.0
1992-10-01,111.0
1992-11-01,110.5
1992-12-01,110.6
1993-01-01,110.6
1993-02-01,110.6
1993-03-01,110.4
1993-04-01,110.3
1993-05-01,109.9
1993-06-01,110.4
1993-07-01,110.7
1993-08-01,111.2
1993-09-01,111.2
1993-10-01,110.9
1993-11-01,110.5
1993-12-01,110.5
1994-01-01,109.8
1994-02-01,109.4
1994-03-01,109.3
1994-04-01,110.3
1994-05-01,111.0
1994-06-01,112.0
1994-07-01,112.7
1994-08-01,113.7
1994-09-01,116.2
1994-10-01,118.9
1994-11-01,120.2
1994-12-01,122.1
1995-01-01,125.6
1995-02-01,127.5
1995-03-01,128.1
1995-04-01,130.3
1995-05-01,130.5
1995-06-01,130.4
1995-07-01,129.9
1995-08-01,129.4
1995-09-01,128.2
1995-10-01,126.6
1995-11-01,124.6
1995-12-01,122.6
1996-01-01,121.5
1996-02-01,120.6
1996-03-01,120.7
1996-04-01,120.5
1996-05-01,122.0
1996-06-01,122.8
1996-07-01,123.3
1996-08-01,124.2
1996-09-01,126.0
1996-10-01,125.4
1996-11-01,125.2
1996-12-01,124.9
1997-01-01,124.9
1997-02-01,125.1
1997-03-01,125.5
1997-04-01,125.5
1997-05-01,125.4
1997-06-01,125.4
1997-07-01,125.1
1997-08-01,124.2
1997-09-01,123.3
1997-10-01,123.3
1997-11-01,122.6
1997-12-01,122.1
1998-01-01,122.3
1998-02-01,120.7
1998-03-01,119.4
1998-04-01,119.1
1998-05-01,118.0
1998-06-01,116.6
1998-07-01,115.6
1998-08-01,114.9
1998-09-01,112.5
1998-10-01,111.4
1998-11-01,110.5
1998-12-01,109.7
1999-01-01,109.4
1999-02-01,109.2
1999-03-01,109.4
1999-04-01,109.9
1999-05-01,111.8
1999-06-01,112.6
1999-07-01,115.2
1999-08-01,116.0
1999-09-01,117.9
1999-10-01,124.9
1999-11-01,124.9
1999-12-01,123.9
2000-01-01,123.6
2000-02-01,124.4
2000-03-01,126.2
2000-04-01,127.2
2000-05-01,129.8
2000-06-01,129.6
2000-07-01,129.6
2000-08-01,130.4
2000-09-01,128.2
2000-10-01,129.4
2000-11-01,129.1
2000-12-01,128.2
2001-01-01,129.6
2001-02-01,131.1
2001-03-01,132.1
2001-04-01,132.3
2001-05-01,130.5
2001-06-01,128.9
2001-07-01,126.3
2001-08-01,123.4
2001-09-01,120.8
2001-10-01,121.1
2001-11-01,120.2
2001-12-01,118.1
2002-01-01,116.1
2002-02-01,115.4
2002-03-01,115.6
2002-04-01,116.1
2002-05-01,117.0
2002-06-01,118.1
2002-07-01,121.9
2002-08-01,122.5
2002-09-01,122.8
2002-10-01,124.3
2002-11-01,123.4
2002-12-01,122.6
2003-01-01,125.2
2003-02-01,128.6
2003-03-01,133.7
2003-04-01,136.0
2003-05-01,135.6
2003-06-01,133.1
2003-07-01,130.5
2003-08-01,129.2
2003-09-01,130.2
2003-10-01,130.9
2003-11-01,130.2
2003-12-01,129.4
2004-01-01,131.8
2004-02-01,134.0
2004-03-01,135.3
2004-04-01,137.7
2004-05-01,138.7
2004-06-01,141.8
2004-07-01,143.9
2004-08-01,147.4
2004-09-01,152.5
2004-10-01,157.4
2004-11-01,161.9
2004-12-01,163.6
2005-01-01,166.7
2005-02-01,167.3
2005-03-01,169.0
2005-04-01,170.5
2005-05-01,167.8
2005-06-01,164.7
2005-07-01,164.1
2005-08-01,163.2
2005-09-01,166.9
2005-10-01,175.9
2005-11-01,179.7
2005-12-01,177.6
2006-01-01,177.4
2006-02-01,175.7
2006-03-01,175.2
2006-04-01,172.7
2006-05-01,173.3
2006-06-01,175.0
2006-07-01,175.5
2006-08-01,176.9
2006-09-01,177.8
2006-10-01,176.8
2006-11-01,175.1
2006-12-01,171.5
2007-01-01,169.3
2007-02-01,168.2
2007-03-01,169.2
2007-04-01,172.2
2007-05-01,172.9
2007-06-01,174.3
2007-07-01,175.2
2007-08-01,176.0
2007-09-01,175.3
2007-10-01,177.4
2007-11-01,181.6
2007-12-01,183.1
2008-01-01,186.1
2008-02-01,186.6
2008-03-01,187.0
2008-04-01,188.2
2008-05-01,191.8
2008-06-01,193.9
2008-07-01,203.1
2008-08-01,207.1
2008-09-01,205.1
2008-10-01,202.2
2008-11-01,186.6
2008-12-01,178.4
2009-01-01,171.0
2009-02-01,172.5
2009-03-01,169.4
2009-04-01,167.6
2009-05-01,168.3
2009-06-01,169.0
2009-07-01,175.3
2009-08-01,176.6
2009-09-01,179.6
2009-10-01,178.8
2009-11-01,179.0
2009-12-01,184.2
2010-01-01,184.0
2010-02-01,191.9
2010-03-01,190.0
2010-04-01,199.5
2010-05-01,194.1
2010-06-01,190.4
2010-07-01,192.9
2010-08-01,191.7
2010-09-01,191.3
2010-10-01,194.1
2010-11-01,191.3
2010-12-01,190.5
2011-01-01,194.4
2011-02-01,199.1
2011-03-01,204.0
2011-04-01,208.8
2011-05-01,218.0
2011-06-01,219.3
2011-07-01,219.5
2011-08-01,217.6
2011-09-01,219.2
2011-10-01,215.4
2011-11-01,214.9
2011-12-01,210.4
2012-01-01,213.6
2012-02-01,216.9
2012-03-01,221.0
2012-04-01,222.4
2012-05-01,221.5
2012-06-01,217.6
2012-07-01,214.1
2012-08-01,214.0
2012-09-01,211.3
2012-10-01,213.0
2012-11-01,212.9
2012-12-01,212.3
2013-01-01,216.8
2013-02-01,219.7
2013-03-01,221.9
2013-04-01,221.4
2013-05-01,220.0
2013-06-01,220.0
2013-07-01,218.9
2013-08-01,218.3
2013-09-01,218.6
2013-10-01,218.8
2013-11-01,220.6
2013-12-01,220.9
2014-01-01,223.1
2014-02-01,225.4
2014-03-01,227.0
2014-04-01,227.8
2014-05-01,227.2
2014-06-01,225.6
2014-07-01,226.6
2014-08-01,228.2
2014-09-01,229.4
2014-10-01,230.6
2014-11-01,227.6
2014-12-01,222.5
2015-01-01,215.5
2015-02-01,211.5
2015-03-01,206.9
2015-04-01,206.0
2015-05-01,206.3
2015-06-01,207.5
2015-07-01,206.6
2015-08-01,204.4
2015-09-01,200.5
2015-10-01,198.3
2015-11-01,197.2
2015-12-01,197.6
2016-01-01,194.5
2016-02-01,193.5
2016-03-01,192.6
2016-04-01,192.7
2016-05-01,194.9
2016-06-01,196.8
2016-07-01,196.7
2016-08-01,196.4
2016-09-01,197.4
2016-10-01,199.3
2016-11-01,198.9
2016-12-01,196.3
2017-01-01,198.0
2017-02-01,202.9
2017-03-01,206.7
2017-04-01,209.2
2017-05-01,207.7
2017-06-01,206.7
2017-07-01,204.1
2017-08-01,203.5
2017-09-01,205.2
2017-10-01,208.5
2017-11-01,209.4
2017-12-01,210.1
2018-01-01,207.2
2018-02-01,209.1
2018-03-01,212.9
2018-04-01,212.0
2018-05-01,215.1
2018-06-01,217.2
2018-07-01,218.0
2018-08-01,220.7
2018-09-01,219.5
2018-10-01,220.2
2018-11-01,217.0
2018-12-01,213.5
2019-01-01,209.7
2019-02-01,209.3
2019-03-01,208.0
2019-04-01,208.0
2019-05-01,209.1
2019-06-01,207.4
2019-07-01,206.9
2019-08-01,207.0
2019-09-01,207.1
2019-10-01,207.2
2019-11-01,205.4
2019-12-01,201.9
2020-01-01,201.7
2020-02-01,204.2
2020-03-01,203.1
2020-04-01,194.2
2020-05-01,189.5
2020-06-01,190.7
2020-07-01,192.8
2020-08-01,197.0
2020-09-01,197.8
2020-10-01,204.2
2020-11-01,205.1
2020-12-01,209.2
2021-01-01,214.8
2021-02-01,223.7
2021-03-01,241.7
2021-04-01,252.5
2021-05-01,258.0
2021-06-01,267.1
2021-07-01,273.938
2021-08-01,278.693
2021-09-01,279.523
2021-10-01,281.559
2021-11-01,278.655
2021-12-01,273.118
2022-01-01,266.777
2022-02-01,266.851
2022-03-01,267.168
2022-04-01,276.664
2022-05-01,280.956
2022-06-01,283.623
2022-07-01,280.061
2022-08-01,273.816
2022-09-01,272.772
2022-10-01,267.359
2022-11-01,256.221
2022-12-01,252.490
2023-01-01,248.411
2023-02-01,253.320
2023-03-01,255.082
2023-04-01,259.494
2023-05-01,256.406
2023-06-01,251.497
2023-07-01,242.961
2023-08-01,239.793
2023-09-01,240.136
2023-10-01,241.717
2023-11-01,241.917
2023-12-01,240.744
2024-01-01,237.631
2024-02-01,242.121
2024-03-01,241.662
2024-04-01,244.666
2024-05-01,246.370
2024-06-01,245.964
2024-07-01,247.662
2024-08-01,247.935
